阿拉伯語	阿拉伯语	Ālābóyǔ	Arabic (language)	[sound:cmn-阿拉伯语.mp3]
靈敏	灵敏	língmǐn	smart, clever, sensitive, keen, quick, sharp	[sound:cmn-灵敏.mp3]
靈巧	灵巧	língqiǎo	deft, nimble, ingenious	[sound:cmn-灵巧.mp3]
凌晨	凌晨	língchén	very early in the morning, in the wee hours	[sound:cmn-凌晨.mp3]
零花錢	零花钱	línghuāqián	pocket money, allowance	[sound:cmn-零花钱.mp3]
零件	零件	língjiàn	section, part, components, spares, spare parts, parts, accessory	[sound:cmn-零件.mp3]
零錢	零钱	língqián	change (of money), small change, pocket money	[sound:cmn-零钱.mp3]
零售	零售	língshòu	retail, (sell) retail	[sound:cmn-零售.mp3]
靈通	灵通	língtōng	fast and abundant (news), clever, effective	[sound:cmn-灵通.mp3]
領會	领会	lǐnghuì	to understand, to comprehend, to grasp	[sound:cmn-领会.mp3]
領軍	领军	lǐng jūn	to lead troups, (fig.) to lead, leading	[sound:cmn-领军.mp3]
領略	领略	lǐnglüè	to have a taste of, to realize, to appreciate	[sound:cmn-领略.mp3]
領事	领事	lǐngshì	consul	[sound:cmn-领事.mp3]
領事館	领事馆	lǐngshìguǎn	consulate	[sound:cmn-领事馆.mp3]
領隊	领队	lǐngduì	leader of a group/team/etc.	[sound:cmn-领队.mp3]
領土	领土	lǐngtǔ	demesne, country, nation, realm, soli, landgrave, princedom, territory, emirate, domain, state, seigneury, estate, seignory, territoriality, acres, possession, signory, territorial, province, landed estate, dominion, land	[sound:cmn-领土.mp3]
領悟	领悟	lǐngwù	to understand, to comprehend	[sound:cmn-领悟.mp3]
領養	领养	lǐngyǎng	adoption, to adopt (a child)	[sound:cmn-领养.mp3]
溜達	溜达	liūda	to stroll, to go for a walk	[sound:cmn-溜达.mp3]
領域	领域	lǐngyù	demesne, line of business, field of operation, country, background, terrain, realm, part, arena, sphere of influence, setting, territory, precinct, radius, scope, domain, sphere, frontier, orbit, preserve, area, world, kingdom, ambit, signory, province, region, field, universe, hemisphere	[sound:cmn-领域.mp3]
瀏覽器	浏览器	liúlǎnqì	browser (software)	[sound:cmn-浏览器.mp3]
留戀	留恋	liúliàn	reluctant to leave, to hate to have to go, to recall fondly	[sound:cmn-留恋.mp3]
溜	溜	liū	to slip away, to escape in stealth, to skate	[sound:cmn-溜.mp3]
瀏覽	浏览	liúlǎn	thumb, glance, riff, scan, riffle, leaf, riffle through, pass over, browse, dip_into, skim, skim through, run_through, flick, flip, dip into, glance over, peruse	[sound:cmn-浏览.mp3]
留念	留念	liúniàn	to keep as a souvenir, to recall fondly	[sound:cmn-留念.mp3]
留心	留心	liú xīn	to be careful, to pay attention to	[sound:cmn-留心.mp3]
留神	留神	liú shén	to take care, to be careful	[sound:cmn-留神.mp3]
留意	留意	liú yì	be careful, watch, see, insure, see to it, pay attention to, keep one's eyes open, take notice, listen, heed, mind, ensure, advert, assure, control, look out, check, ascertain, regard	[sound:cmn-留意.mp3]
流暢	流畅	liúchàng	flowing (of speech, writing), fluent, smooth and easy	[sound:cmn-流畅.mp3]
流程	流程	liúchéng	workflow, course (of river, technological process, process, driftage, manufacturing/technological process/workflow, etc.), course (of river/etc.), course, manufacturing, manufacturing process, technological workflow, circuit, flow	[sound:cmn-流程.mp3]
流浪	流浪	liúlàng	lead vagrant life	[sound:cmn-流浪.mp3]
流淚	流泪	liú lèi	to shed tears	[sound:cmn-流泪.mp3]
流量	流量	liúliàng	flow rate, rate, throughput, site traffic (Internet)	[sound:cmn-流量.mp3]
流露	流露	liúlù	betray/reveal unintentionally	[sound:cmn-流露.mp3]
流氓	流氓	liúmáng	roughscuff, rip, yobbo, badmash, swashbuckler, rascal, riffraff, scamp, raff, rapscallion, rogue, rowdy, hooliganism, cur, picaroon, varmint, yobo, ruffian, hector, roughneck, gaolbird, scalawag, gorilla, no-good, scallywag, hoodlum, limmer, tearaway, blackguard, picaro, hooligan, hessian, bullyboy, rascallion, indecency, bully, plug-ugly, shoulder-hitter, dingbat, caird, tough, varlet, sc	[sound:cmn-流氓.mp3]
流入	流入	liúrù	to flow into, to drift into, influx, inflow	[sound:cmn-流入.mp3]
流失	流失	liúshī	run off, be washed away	[sound:cmn-流失.mp3]
流水	流水	liúshuǐ	presto, turnover, flowing water, turnover (in business), flowing/running water, flowing, running water	[sound:cmn-流水.mp3]
流向	流向	liúxiàng	Flow	[sound:cmn-流向.mp3]
流淌	流淌	liútǎng	to flow	[sound:cmn-流淌.mp3]
流血	流血	liúxuè	shed blood, hemorrhage, bloody, bleed	[sound:cmn-流血.mp3]
流轉	流转	liúzhuǎn	to be on the move, to roam or wander, to circulate (of goods or capital)	[sound:cmn-流转.mp3]
柳樹	柳树	liǔshù	willow	[sound:cmn-柳树.mp3]
遛	遛	liù	to stroll, to walk (an animal)	[sound:cmn-遛.mp3]
流域	流域	liúyù	river basin, valley, drainage area	[sound:cmn-流域.mp3]
龍舟	龙舟	lóngzhōu	dragon boat, imperial boat	[sound:cmn-龙舟.mp3]
聾人	聋人	lóngrén	Deaf	[sound:cmn-聋人.mp3]
籠子	笼子	lóngzi	cage, coop, basket, container	[sound:cmn-笼子.mp3]
聾	聋	lóng	deaf	[sound:cmn-聋.mp3]
隆重	隆重	lóngzhòng	grand, prosperous, ceremonious, solemn	[sound:cmn-隆重.mp3]
壟斷	垄断	lǒngduàn	monopolize	[sound:cmn-垄断.mp3]
籠罩	笼罩	lǒngzhào	envelop, shroud	[sound:cmn-笼罩.mp3]
籠統	笼统	lǒngtǒng	general, broad, sweeping, lacking in detail, vague	[sound:cmn-笼统.mp3]
摟	搂	lǒu	to draw towards oneself, to gather, to gather up (one's gown, sleeves etc), to grab (money), to extort, to hug, to embrace, to hold in one's arms	[sound:cmn-搂.mp3]
露面	露面	lòu miàn	to show one's face, to appear (in public)	[sound:cmn-露面.mp3]
蘆花	芦花	lúhuā	Reed	[sound:cmn-芦花.mp3]
爐灶	炉灶	lúzào	stove	[sound:cmn-炉灶.mp3]
鹵味	卤味	lǔwèi	food prepared by stewing in soy sauce and spices, variant of 滷味|卤味[lu3 wei4]	[sound:cmn-卤味.mp3]
魯莽	鲁莽	lǔmǎng	hot-headed, impulsive, reckless	[sound:cmn-鲁莽.mp3]
爐子	炉子	lúzi	stove, oven, furnace	[sound:cmn-炉子.mp3]
錄製	录制	lùzhì	to record (video or audio)	[sound:cmn-录制.mp3]
路程	路程	lùchéng	distance travelled, journey	[sound:cmn-路程.mp3]
鹿	鹿	lù	cervine, deer, European elk, elk, moose, Alces alces, cervid	[sound:cmn-鹿.mp3]
路段	路段	lùduàn	Section	[sound:cmn-路段.mp3]
路況	路况	lùkuàng	road condition(s) (e.g. surface, traffic flow etc)	[sound:cmn-路况.mp3]
路面	路面	lùmiàn	pavement	[sound:cmn-路面.mp3]
路人	路人	lùrén	passer-by, stranger	[sound:cmn-路人.mp3]
路燈	路灯	lùdēng	street lamp, street light	[sound:cmn-路灯.mp3]
路途	路途	lùtú	Route	[sound:cmn-路途.mp3]
露天	露天	lùtiān	in the open air, outdoors	[sound:cmn-露天.mp3]
旅程	旅程	lǚchéng	travel plan, journeying, itinerary, route, stage, peregrination, journey	[sound:cmn-旅程.mp3]
旅途	旅途	lǚtú	way, travel, route, traveling, travelling, trip, journey	[sound:cmn-旅途.mp3]
路子	路子	lùzi	method, way, approach	[sound:cmn-路子.mp3]
鋁	铝	lǚ	aluminum (chemistry)	[sound:cmn-铝.mp3]
屢次	屡次	lǚcì	repeatedly, time and again	[sound:cmn-屡次.mp3]
縷	缕	lǚ	strand, thread, detailed, in detail, classifier for wisps (of smoke, mist or vapor), strands, locks (of hair)	[sound:cmn-缕.mp3]
屢	屡	lǚ	time and again, repeatedly, frequently	[sound:cmn-屡.mp3]
履行	履行	lǚxíng	to fulfill (one's obligations), to carry out (a task), to implement (an agreement), to perform	[sound:cmn-履行.mp3]
率	率	lǜ	lead, command	[sound:cmn-率.mp3]
綠燈	绿灯	lǜdēng	green light	[sound:cmn-绿灯.mp3]
孿生	孪生	luánshēng	twin	[sound:cmn-孪生.mp3]
綠地	绿地	lǜdì	greenness, greenery patches, meadow, grassland	[sound:cmn-绿地.mp3]
卵	卵	luǎn	egg, ovum, spawn	[sound:cmn-卵.mp3]
掠奪	掠夺	lüèduó	to plunder, to rob	[sound:cmn-掠夺.mp3]
亂七八糟	乱七八糟	luànqībāzāo	everything in disorder (idiom), in a hideous mess, at sixes and sevens	[sound:cmn-乱七八糟.mp3]
略微	略微	lüèwēi	a little bit, slightly	[sound:cmn-略微.mp3]
掄	抡	lūn	to swing (one's arms, a heavy object), to wave (a sword, one's fists), to fling (money), to select	[sound:cmn-抡.mp3]
略	略	lüè	a little bit, cursorily, any, something, slightly, somewhat, a little, poco, a bit	[sound:cmn-略.mp3]
倫理	伦理	lúnlǐ	value orientation, value-system, moral, moral principle, morals, ethical, ethical motive, ethic, moral principles, morality, ethics	[sound:cmn-伦理.mp3]
輪換	轮换	lúnhuàn	duty roster	[sound:cmn-轮换.mp3]
輪流	轮流	lúnliú	by turns, in turn	[sound:cmn-轮流.mp3]
輪胎	轮胎	lúntāi	tire, pneumatic tire	[sound:cmn-轮胎.mp3]
輪廓	轮廓	lúnkuò	outline, contour, rough sketch	[sound:cmn-轮廓.mp3]
論壇	论坛	lùntán	forum (for discussion)	[sound:cmn-论坛.mp3]
論證	论证	lùnzhèng	to prove a point, to expound on, to demonstrate or prove (through argument), proof	[sound:cmn-论证.mp3]
羅	罗	luó	surname Luo, gauze, to collect, to gather, to catch, to sift	[sound:cmn-罗.mp3]
論述	论述	lùnshù	exposition and argumentation	[sound:cmn-论述.mp3]
蘿卜	萝卜	luóbo	radish (Raphanus sativus), esp. white radish 白蘿蔔|白萝卜[bai2 luo2 bo5], CL:條|条[tiao2]	[sound:cmn-萝卜.mp3]
螺絲	螺丝	luósī	screw	[sound:cmn-螺丝.mp3]
絡繹不絕	络绎不绝	luòyì-bùjué	continuously, in an endless stream (idiom)	[sound:cmn-络绎不绝.mp3]
裸露	裸露	luǒlù	naked, bare, uncovered, exposed	[sound:cmn-裸露.mp3]
落差	落差	luòchā	drop in elevation, (fig.) gap (in wages, expectations etc), disparity	[sound:cmn-落差.mp3]
落地	落地	luò dì	be born (of babies), born, fail, fall to the ground, be born	[sound:cmn-落地.mp3]
裸	裸	luǒ	naked, variant of 裸[luo3]	[sound:cmn-裸.mp3]
落戶	落户	luò hù	to settle, to set up home	[sound:cmn-落户.mp3]
落下	落下	luòxià	fall/lag behind	[sound:cmn-落下.mp3]
麻	麻	má	generic name for hemp, flax etc, hemp or flax fiber for textile materials, sesame, CL:縷|缕[lu:3], (of materials) rough or coarse, pocked, pitted, to have pins and needles or tingling, to feel numb, surname Ma	[sound:cmn-麻.mp3]
麻痹	麻痹	mábì	paralysis, palsy, numbness, to benumb, (fig.) to lull, negligent, apathetic	[sound:cmn-麻痹.mp3]
麻木	麻木	mámù	numb, insensitive, apathetic	[sound:cmn-麻木.mp3]
麻將	麻将	májiàng	mahjong, CL:副[fu4]	[sound:cmn-麻将.mp3]
馬後炮	马后炮	mǎhòupào	lit. firing after the horse, fig. belated action, giving advice in hindsight	[sound:cmn-马后炮.mp3]
麻醉	麻醉	mázuì	anesthesize, poison, drug	[sound:cmn-麻醉.mp3]
馬力	马力	mǎlì	horsepower	[sound:cmn-马力.mp3]
麻辣	麻辣	málà	hot and numbing	[sound:cmn-麻辣.mp3]
馬桶	马桶	mǎtǒng	chamber pot, wooden pan used as toilet, toilet bowl	[sound:cmn-马桶.mp3]
馬戲	马戏	mǎxì	circus	[sound:cmn-马戏.mp3]
馬虎	马虎	mǎhu	careless, sloppy, negligent, skimpy	[sound:cmn-马虎.mp3]
埋藏	埋藏	máicáng	to bury, to hide by burying, hidden	[sound:cmn-埋藏.mp3]
碼	码	mǎ	m.[standard]	[sound:cmn-码.mp3]
埋伏	埋伏	máifu	to ambush, to lie in wait for, to lie low, ambush	[sound:cmn-埋伏.mp3]
埋沒	埋没	máimò	to engulf, to bury, to overlook, to stifle, to neglect, to fall into oblivion	[sound:cmn-埋没.mp3]
邁	迈	mài	to take a step, to stride	[sound:cmn-迈.mp3]
買不起	买不起	mǎibuqǐ	cannot afford, can't afford buying	[sound:cmn-买不起.mp3]
邁進	迈进	màijìn	forge ahead, stride forward, advance with big strides	[sound:cmn-迈进.mp3]
脈搏	脉搏	màibó	pulse (both medical and figurative)	[sound:cmn-脉搏.mp3]
賣弄	卖弄	màinong	to show off, to make a display of	[sound:cmn-卖弄.mp3]
脈絡	脉络	màiluò	arteries and veins, network of blood vessels, vascular system (of a plant or animal), (fig.) fabric (i.e. underlying structure, as in 'social fabric'), overall context	[sound:cmn-脉络.mp3]
埋怨	埋怨	mányuàn	to complain, to grumble (about), to reproach, to blame	[sound:cmn-埋怨.mp3]
瞞	瞒	mán	to conceal from, to keep (sb) in the dark	[sound:cmn-瞒.mp3]
蠻	蛮	mán	pretty, very, quite, more or less, pretty much, fairly, rather, somewhat, to some extent	[sound:cmn-蛮.mp3]
滿懷	满怀	mǎnhuái	to have one's heart filled with, (to collide) full on, (of farm animals) heavy with young	[sound:cmn-满怀.mp3]
漫	漫	màn	free, unrestrained, to inundate	[sound:cmn-漫.mp3]
蔓延	蔓延	mànyán	spread out, extend	[sound:cmn-蔓延.mp3]
漫遊	漫游	mànyóu	to travel around, to roam, (mobile telephony) roaming	[sound:cmn-漫游.mp3]
忙碌	忙碌	mánglù	be busy, bustle about	[sound:cmn-忙碌.mp3]
慢慢來	慢慢来	mànmànlái	take your time, take it easy	[sound:cmn-慢慢来.mp3]
忙亂	忙乱	mángluàn	rushed and muddled	[sound:cmn-忙乱.mp3]
慢性	慢性	mànxìng	chronic, slow (in taking effect)	[sound:cmn-慢性.mp3]
忙活	忙活	mánghuo	to be really busy, pressing business	[sound:cmn-忙活.mp3]
盲目	盲目	mángmù	blind	[sound:cmn-盲目.mp3]
茫然	茫然	mángrán	ignorant, in the dark	[sound:cmn-茫然.mp3]
茅臺	茅台	Máotái	Maotai town in Renhuai county, Guizhou, Maotai liquor 茅臺酒|茅台酒	[sound:cmn-茅台.mp3]
茂密	茂密	màomì	dense (of plant growth), lush	[sound:cmn-茂密.mp3]
矛頭	矛头	máotóu	spearhead, barb, an attack or criticism	[sound:cmn-矛头.mp3]
茂盛	茂盛	màoshèng	lush	[sound:cmn-茂盛.mp3]
冒犯	冒犯	màofàn	to offend	[sound:cmn-冒犯.mp3]
冒充	冒充	màochōng	to feign, to pretend to be, to pass oneself off as	[sound:cmn-冒充.mp3]
冒昧	冒昧	màomèi	bold, presumptuous, to take the liberty of	[sound:cmn-冒昧.mp3]
冒險	冒险	mào xiǎn	take risks/chances	[sound:cmn-冒险.mp3]
沒說的	没说的	méishuōde	really good	[sound:cmn-没说的.mp3]
沒勁	没劲	méi jìn	to have no strength, to feel weak, exhausted, feeling listless, boring, of no interest	[sound:cmn-没劲.mp3]
沒轍	没辙	méizhé	at one's wit's end, unable to find a way out	[sound:cmn-没辙.mp3]
沒完沒了	没完没了	méiwán-méiliǎo	without end, incessantly, on and on	[sound:cmn-没完没了.mp3]
玫瑰	玫瑰	méigui	rosebush, rose	[sound:cmn-玫瑰.mp3]
沒意思	没意思	méi yìsi	boring, of no interest	[sound:cmn-没意思.mp3]
沒準兒	没准儿	méizhǔnr5	not sure, maybe	[sound:cmn-没准儿.mp3]
眉開眼笑	眉开眼笑	méikāi-yǎnxiào	brows raised in delight, eyes laughing (idiom), beaming with joy, all smiles	[sound:cmn-眉开眼笑.mp3]
枚	枚	méi	enzyme, flare, ferment, school, mine, Surname, stick used as mouth gag, piece, rocket, m.[general],	[sound:cmn-枚.mp3]
眉毛	眉毛	méimao	eyebrow, brow	[sound:cmn-眉毛.mp3]
煤礦	煤矿	méikuàng	coal mine, coal seam	[sound:cmn-煤矿.mp3]
每當	每当	měidāng	whenever, every time	[sound:cmn-每当.mp3]
每逢	每逢	měiféng	every time, on each occasion, whenever	[sound:cmn-每逢.mp3]
煤炭	煤炭	méitàn	coal	[sound:cmn-煤炭.mp3]
美觀	美观	měiguān	pleasing to the eye	[sound:cmn-美观.mp3]
美德	美德	měidé	good, virtue, merit, goodness, virture, moral excellence, excellency	[sound:cmn-美德.mp3]
美化	美化	měihuà	beautify, embellish	[sound:cmn-美化.mp3]
美景	美景	měijǐng	vision, beauty_spot, beautiful sight, beautiful scenery	[sound:cmn-美景.mp3]
美滿	美满	měimǎn	happy, blissful	[sound:cmn-美满.mp3]
美人	美人	měirén	beauty, belle	[sound:cmn-美人.mp3]
美妙	美妙	měimiào	beautiful, wonderful, splendid	[sound:cmn-美妙.mp3]
美中不足	美中不足	měizhōng-bùzú	everything is fine except for one small defect (idiom), the fly in the ointment	[sound:cmn-美中不足.mp3]
美味	美味	měiwèi	delicious, dainty	[sound:cmn-美味.mp3]
美滋滋	美滋滋	měizīzī	very happy, elated	[sound:cmn-美滋滋.mp3]
魅力	魅力	mèilì	personal appeal, allurement, charisma, fascination, spell, attractive feature, glitter, witchery, lure, appeal, grace, loveliness, attraction, allure, enticement, seduction, glamour, pazazz, charm, pishogue, prestige, enchantment, glamor, witchcraft, magnetism, attractiveness, appealingness, hypnotism, bewitchment, invitation, personal magnetism, captivation	[sound:cmn-魅力.mp3]
門當戶對	门当户对	méndāng-hùduì	the families are well-matched in terms of social status (idiom), (of a prospective marriage partner) an appropriate match	[sound:cmn-门当户对.mp3]
門檻	门槛	ménkǎn	doorstep, sill, threshold, fig. knack or trick (esp. scheme to get sth cheaper)	[sound:cmn-门槛.mp3]
門鈴	门铃	ménlíng	doorbell	[sound:cmn-门铃.mp3]
悶	闷	mèn	stuffy, shut indoors, to smother, to cover tightly, bored, depressed, melancholy, sealed, airtight, tightly closed	[sound:cmn-闷.mp3]
門路	门路	ménlu	way of doing sth, the right social connection	[sound:cmn-门路.mp3]
萌發	萌发	méngfā	to sprout, to shoot, to bud	[sound:cmn-萌发.mp3]
盟友	盟友	méngyǒu	ally	[sound:cmn-盟友.mp3]
萌芽	萌芽	méngyá	to sprout (lit. or fig.), to bud, to germinate, germ, seed, bud	[sound:cmn-萌芽.mp3]
朦朧	朦胧	ménglóng	hazy	[sound:cmn-朦胧.mp3]
猛然	猛然	měngrán	suddenly, abruptly	[sound:cmn-猛然.mp3]
夢幻	梦幻	mènghuàn	dream, illusion, reverie	[sound:cmn-梦幻.mp3]
猛烈	猛烈	měngliè	fierce, violent (criticism etc)	[sound:cmn-猛烈.mp3]
彌漫	弥漫	mímàn	to pervade, to fill the air, diffuse, everywhere present, about to inundate (water), permeated by (smoke), filled with (dust), to saturate (the air with fog, smoke etc), variant of 彌漫|弥漫[mi2 man4]	[sound:cmn-弥漫.mp3]
迷惑	迷惑	míhuo	puzzle, confuse, baffle	[sound:cmn-迷惑.mp3]
迷惑不解	迷惑不解	míhuòbùjiě	to feel puzzled	[sound:cmn-迷惑不解.mp3]
彌補	弥补	míbǔ	supply, atone, make_up, renew, make up, remedy, redeem, make good, compensate, recuperate, counterbalance	[sound:cmn-弥补.mp3]
迷戀	迷恋	míliàn	to be infatuated with, to indulge in	[sound:cmn-迷恋.mp3]
迷路	迷路	mí lù	to lose the way, lost, labyrinth, labyrinthus vestibularis (of the inner ear)	[sound:cmn-迷路.mp3]
迷失	迷失	míshī	to lose (one's bearings), to get lost	[sound:cmn-迷失.mp3]
謎	谜	mèi	puzzler, puzzle, rebus, crux, brain-teaser, mystery, conundrum, riddle, puzzlement, sticker, enigma, parable	[sound:cmn-谜.mp3]
謎底	谜底	mídǐ	answer to a riddle	[sound:cmn-谜底.mp3]
謎團	谜团	mítuán	riddle, enigma, unpredictable situation, elusive matters	[sound:cmn-谜团.mp3]
祕方	秘方	mìfāng	secret recipe	[sound:cmn-秘方.mp3]
謎語	谜语	míyǔ	riddle, conundrum, CL:條|条[tiao2]	[sound:cmn-谜语.mp3]
祕訣	秘诀	mìjué	secret know-how, key (to longevity), secret (of happiness), recipe (for success)	[sound:cmn-秘诀.mp3]
密封	密封	mìfēng	to seal up	[sound:cmn-密封.mp3]
密不可分	密不可分	mìbùkěfēn	inextricably linked (idiom), inseparable	[sound:cmn-密不可分.mp3]
密度	密度	mìdù	density, texture, thickness, consistency, compactness, concentration, denseness	[sound:cmn-密度.mp3]
蜜蜂	蜜蜂	mìfēng	bee, honeybee, CL:隻|只[zhi1],群[qun2]	[sound:cmn-蜜蜂.mp3]
蜜	蜜	mì	honey	[sound:cmn-蜜.mp3]
密集	密集	mìjí	concentrated, crowded together	[sound:cmn-密集.mp3]
蜜月	蜜月	mìyuè	honeymoon	[sound:cmn-蜜月.mp3]
棉花	棉花	miánhua	cotton	[sound:cmn-棉花.mp3]
免	免	miǎn	duty-free, be not allowed	[sound:cmn-免.mp3]
免不了	免不了	miǎnbuliǎo	unavoidably	[sound:cmn-免不了.mp3]
免除	免除	miǎnchú	to prevent, to avoid, to excuse, to exempt, to relieve, (of a debt) to remit	[sound:cmn-免除.mp3]
免疫	免疫	miǎnyì	immunize, immune	[sound:cmn-免疫.mp3]
免職	免职	miǎn zhí	to relieve sb of his post, to sack, to demote, dismissal, sacking	[sound:cmn-免职.mp3]
勉強	勉强	miǎnqiǎng	do with difficulty	[sound:cmn-勉强.mp3]
緬懷	缅怀	miǎnhuái	to commemorate, to recall fondly, to think of the past	[sound:cmn-缅怀.mp3]
麵粉	面粉	miànfěn	flour	[sound:cmn-面粉.mp3]
面部	面部	miànbù	face (body part)	[sound:cmn-面部.mp3]
面紅耳赤	面红耳赤	miànhóng-ěrchì	flushed with anger (or excitement)	[sound:cmn-面红耳赤.mp3]
面面俱到	面面俱到	miànmiàn-jùdào	(idiom) take care of everything, handle everything	[sound:cmn-面面俱到.mp3]
苗條	苗条	miáotiao	(of a woman) slim, slender, graceful	[sound:cmn-苗条.mp3]
面目全非	面目全非	miànmù-quánfēi	nothing remains the same (idiom), change beyond recognition	[sound:cmn-面目全非.mp3]
苗頭	苗头	miáotou	first signs, development (of a situation)	[sound:cmn-苗头.mp3]
苗	苗	miáo	Hmong or Miao ethnic group of southwest China, surname Miao, sprout	[sound:cmn-苗.mp3]
描繪	描绘	miáohuì	depict, describe, portray	[sound:cmn-描绘.mp3]
瞄準	瞄准	miáo zhǔn	to take aim at, to target	[sound:cmn-瞄准.mp3]
廟	庙	miào	shrine, sanctorium, joss house, temple fair, temple	[sound:cmn-庙.mp3]
渺小	渺小	miǎoxiǎo	minute, tiny, negligible, insignificant	[sound:cmn-渺小.mp3]
廟會	庙会	miàohuì	temple fair	[sound:cmn-庙会.mp3]
滅亡	灭亡	mièwáng	to be destroyed, to become extinct, to perish, to die out, to destroy, to exterminate	[sound:cmn-灭亡.mp3]
滅絕	灭绝	mièjué	to extinguish, to become extinct, to die out	[sound:cmn-灭绝.mp3]
民辦	民办	mínbàn	run by the local people, privately operated	[sound:cmn-民办.mp3]
民俗	民俗	mínsú	folklore, folk, folk custom, folkways	[sound:cmn-民俗.mp3]
民用	民用	mínyòng	(for) civilian use	[sound:cmn-民用.mp3]
民眾	民众	mínzhòng	civil, crowd, masses, populace, rank_and_file, the masses, the masses of the people, the populace, demos, mob, multitude, plebs, commons, the common people, the people, million, public	[sound:cmn-民众.mp3]
敏捷	敏捷	mǐnjié	nimble, quick, shrewd	[sound:cmn-敏捷.mp3]
名副其實	名副其实	míngfùqíshí	not just in name only, but also in reality (idiom)	[sound:cmn-名副其实.mp3]
名貴	名贵	míngguì	famous and valuable, rare, precious	[sound:cmn-名贵.mp3]
敏銳	敏锐	mǐnruì	keen, incisive, acute, sharp	[sound:cmn-敏锐.mp3]
名利	名利	mínglì	fame and gain, fame and wealth	[sound:cmn-名利.mp3]
名聲	名声	míngshēng	reputation	[sound:cmn-名声.mp3]
名言	名言	míngyán	saying, famous remark	[sound:cmn-名言.mp3]
名氣	名气	míngqi	reputation, fame	[sound:cmn-名气.mp3]
明朗	明朗	mínglǎng	bright, clear, obvious, forthright, open-minded, bright and cheerful	[sound:cmn-明朗.mp3]
明媚	明媚	míngmèi	bright and beautiful	[sound:cmn-明媚.mp3]
名著	名著	míngzhù	masterpiece	[sound:cmn-名著.mp3]
銘記	铭记	míngjì	to engrave in one's memory	[sound:cmn-铭记.mp3]
明智	明智	míngzhì	sensible, wise, judicious, sagacious	[sound:cmn-明智.mp3]
命	命	mìng	life, lot, fate, destiny	[sound:cmn-命.mp3]
命名	命名	mìng míng	to give a name to, to dub, to christen, to designate, named after, naming	[sound:cmn-命名.mp3]
命題	命题	mìng tí	proposition (logic, math.), to assign an essay topic	[sound:cmn-命题.mp3]
摸索	摸索	mōsuo	grope, feel about, fumble, try to find out	[sound:cmn-摸索.mp3]
模擬	模拟	mónǐ	imitate, simulate	[sound:cmn-模拟.mp3]
磨難	磨难	mónàn	a torment, a trial, tribulation, a cross (to bear), well-tried	[sound:cmn-磨难.mp3]
磨損	磨损	mósǔn	wear and tear, abrasion	[sound:cmn-磨损.mp3]
磨合	磨合	móhé	to break in, to wear in	[sound:cmn-磨合.mp3]
蘑菇	蘑菇	mógu	mushroom, to pester, to dawdle	[sound:cmn-蘑菇.mp3]
魔鬼	魔鬼	móguǐ	devil	[sound:cmn-魔鬼.mp3]
魔術	魔术	móshù	magic	[sound:cmn-魔术.mp3]
抹	抹	mǒ	brush/wipe off, exclude	[sound:cmn-抹.mp3]
沒落	没落	mòluò	to decline, to wane	[sound:cmn-没落.mp3]
末日	末日	mòrì	Judgment Day (in Christian eschatology), last day, end, final days, doomsday	[sound:cmn-末日.mp3]
陌生	陌生	mòshēng	strange, unfamiliar	[sound:cmn-陌生.mp3]
莫非	莫非	mòfēi	can it be possible that, could it be	[sound:cmn-莫非.mp3]
莫過於	莫过于	mòguòyú	nothing is more...than	[sound:cmn-莫过于.mp3]
莫名其妙	莫名其妙	mòmíng-qímiào	unfathomable mystery (idiom), subtle and ineffable, unable to make head or tail of it, boring (e.g. movie)	[sound:cmn-莫名其妙.mp3]
漠然	漠然	mòrán	indifferent, apathetic, cold	[sound:cmn-漠然.mp3]
墨	墨	mò	learning, Chinese ink, ink stick, Mohist School, Mexico, Mohism, ink, handwriting, ink cake, Surname, China ink	[sound:cmn-墨.mp3]
默讀	默读	mòdú	to read in silence	[sound:cmn-默读.mp3]
默默無聞	默默无闻	mòmò-wúwén	obscure and unknown (idiom), an outsider without any reputation, a nobody, an unknown quantity	[sound:cmn-默默无闻.mp3]
謀害	谋害	móuhài	to conspire to murder, to plot against sb's life	[sound:cmn-谋害.mp3]
謀求	谋求	móuqiú	go for, be in quest of, seek to gain, strive for, endeavor, try for, seek	[sound:cmn-谋求.mp3]
默契	默契	mòqì	tacit/secret agreement, tacit agreement, understanding, secret agreement, privity, tacit	[sound:cmn-默契.mp3]
謀生	谋生	móushēng	to seek one's livelihood, to work to support oneself, to earn a living	[sound:cmn-谋生.mp3]
畝	亩	mǔ	acre, m.[standard],	[sound:cmn-亩.mp3]
牡丹	牡丹	mǔdan	Mudan District of Heze City 菏澤市|菏泽市[He2 ze2 Shi4], Shandong, Mutan township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan, tree peony (Paeonia suffruticosa)	[sound:cmn-牡丹.mp3]
木板	木板	mùbǎn	batten, deal, board, plank, planch, softwood	[sound:cmn-木板.mp3]
木材	木材	mùcái	patina, heartwood, wood, stuff, lumber, cabinet wood, timber	[sound:cmn-木材.mp3]
木匠	木匠	mùjiang	carpenter	[sound:cmn-木匠.mp3]
目不轉睛	目不转睛	mùbùzhuǎnjīng	unable to take one's eyes off (idiom), to gaze steadily, to stare	[sound:cmn-目不转睛.mp3]
木偶	木偶	mùǒu	puppet	[sound:cmn-木偶.mp3]
